encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15014,24469,24529
13284,13823,13101,15014,24469,24529
13284,13823,13101,15014,24469,24529
13284,13823,13101,15015,24469,24530
13283,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15014,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24470,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15014,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15014,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13297,13830,13112,15024,24477,24539
13359,13878,13156,15107,24526,24584
13522,14017,13297,15255,24672,24730
13972,14441,13721,15689,25099,25167
14536,15063,14331,16306,25711,25776
15025,15575,14798,16765,26195,26240
15215,15775,14975,16963,26379,26435
15230,15785,14991,16982,26390,26449
15222,15763,14985,16981,26375,26448
15223,15764,14985,16982,26373,26448
15222,15763,14984,16981,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15764,14984,16982,26372,26448
15222,15764,14984,16982,26372,26448
15222,15763,14984,16982,26373,26448
15222,15764,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15222,15763,14984,16982,26373,26448
15225,15765,14988,16995,26376,26457
15310,15837,15058,17094,26457,26546
